id,title,description,startTime,endTime,location,track,level,tags,sourceUrl,lastUpdated,createdAt
cmffpi0iu007u3z7gpvxwh7oe,ITC LATAM Opening Keynote: State of the Insurtech Union,Hugues BertinCEO and President - Digital Insurance LATAM and AIP,2025-10-15T13:10:00.000Z,2025-10-15T13:30:00.000Z,Mandalay Bay Ballroom F,LATAM,All,InsurTech|keynote|LATAM|day1,,2025-09-11T17:52:48.678Z,2025-09-11T17:52:48.678Z
cmffpi0ha00793z7goi9pi11x,WIISE Workshop: The Mirror of Integrity: Lifting Ourselves by Reflecting the Best in Others,Join us for WIISE Workshop: The Mirror of Integrity: Lifting Ourselves by Reflecting the Best in Others,2025-10-15T13:20:00.000Z,2025-10-15T14:00:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.623Z,2025-09-11T17:52:48.623Z
cmffpi0ja007w3z7gf9c9c9fb,State of the Insurtech Union: From the Investors' Point of View,Join us for State of the Insurtech Union: From the Investors' Point of View,2025-10-15T13:30:00.000Z,2025-10-15T13:45:00.000Z,Mandalay Bay Ballroom F,LATAM,All,InsurTech|LATAM|day1,,2025-09-11T17:52:48.695Z,2025-09-11T17:52:48.695Z
cmffpi0j6007v3z7gxc2xr9mc,ITC Agents Opening Remarks,Join us for ITC Agents Opening Remarks,2025-10-15T13:30:00.000Z,2025-10-15T13:40:00.000Z,Mandalay Bay Ballroom E,Agents,All,agents|day1,,2025-09-11T17:52:48.691Z,2025-09-11T17:52:48.691Z
cmffpi0jn007x3z7g67xey4k1,Escape the Rabbit Hole: Finding Your Way in the Wonderland of Agency AI,Session Sponsor,2025-10-15T13:40:00.000Z,2025-10-15T14:00:00.000Z,Mandalay Bay Ballroom E,Agents,All,AI|sponsored|agents|day1,,2025-09-11T17:52:48.707Z,2025-09-11T17:52:48.707Z
cmffpi0k8007y3z7ggxynrb3i,State of the Union of Insurance Broking in America,Join us for State of the Union of Insurance Broking in America,2025-10-15T13:40:00.000Z,2025-10-15T14:00:00.000Z,Mandalay Bay Ballroom H -,Brokers,All,brokers|day1,,2025-09-11T17:52:48.728Z,2025-09-11T17:52:48.728Z
cmffpi0kd007z3z7ggxoizum0,Are Social Impact Alliances a New Solution to Reduce the Insurance Gap in Latin America?,Session Sponsor,2025-10-15T13:45:00.000Z,2025-10-15T14:00:00.000Z,Mandalay Bay Ballroom F,LATAM,All,sponsored|LATAM|day1,,2025-09-11T17:52:48.733Z,2025-09-11T17:52:48.733Z
cmffpi0ko00813z7g2f8wifzw,How I Built This: The Bowhead Specialty Story and What’s Next,Join us for How I Built This: The Bowhead Specialty Story and What’s Next,2025-10-15T14:00:00.000Z,2025-10-15T14:30:00.000Z,Mandalay Bay Ballroom H -,Brokers,All,brokers|day1,,2025-09-11T17:52:48.745Z,2025-09-11T17:52:48.745Z
cmffpi0kj00803z7g8shosgw4,Cracking the Code: What Insurtech Buyers Really Want,AI Recommended,2025-10-15T14:00:00.000Z,2025-10-15T14:45:00.000Z,Oceanside Ballroom B,Masterclass,All,AI|InsurTech|masterclass|recommended|day1,,2025-09-11T17:52:48.739Z,2025-09-11T17:52:48.739Z
cmffpi0hc007a3z7g6bmljkhw,WIISE Workshop: The Power of Unleashing Creativity (Keynote),Join us for WIISE Workshop: The Power of Unleashing Creativity (Keynote),2025-10-15T14:00:00.000Z,2025-10-15T15:00:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|keynote|day1,,2025-09-11T17:52:48.625Z,2025-09-11T17:52:48.625Z
cmffpi0kr00823z7goae2fo2m,The No-Cold-Call Millionaire: How I Wrote $2M in Revenue Without Dialing Once,Join us for The No-Cold-Call Millionaire: How I Wrote $2M in Revenue Without Dialing Once,2025-10-15T14:00:00.000Z,2025-10-15T14:30:00.000Z,Mandalay Bay Ballroom E,Agents,All,agents|day1,,2025-09-11T17:52:48.748Z,2025-09-11T17:52:48.748Z
cmffpi0kz00853z7gp03d3otg,"Mic Drop: Why I Made the Move From Carrier to Insurtech, and Where I See Potential in Argentina","Join us for Mic Drop: Why I Made the Move From Carrier to Insurtech, and Where I See Potential in Argentina",2025-10-15T14:30:00.000Z,2025-10-15T14:45:00.000Z,Mandalay Bay Ballroom F,LATAM,All,InsurTech|LATAM|day1,,2025-09-11T17:52:48.756Z,2025-09-11T17:52:48.756Z
cmffpi0kt00833z7ghl0fvfb6,"Inside the Distribution Shake-Up: How Brokers, MGAs, MGUs & Hybrid Fronting Carriers Can Win the Next Era Presented by Novidea",Session Sponsor | Novidea,2025-10-15T14:30:00.000Z,2025-10-15T14:50:00.000Z,Mandalay Bay Ballroom H -,Brokers,All,sponsored|brokers|distribution|day1,,2025-09-11T17:52:48.749Z,2025-09-11T17:52:48.749Z
cmffpi0kx00843z7gm2m9f5wg,ITC Agents Coffee and Expo,Join us for ITC Agents Coffee and Expo,2025-10-15T14:30:00.000Z,2025-10-15T15:15:00.000Z,Mandalay Bay Ballroom E,Agents,All,agents|day1,,2025-09-11T17:52:48.753Z,2025-09-11T17:52:48.753Z
cmffpi0l700873z7gxz8kpyrb,Clearspeed Gives Back,AI Recommended,2025-10-15T15:00:00.000Z,2025-10-15T18:00:00.000Z,Mandalay Bay Foyer | Level 2,AI Track,All,AI|recommended|day1,,2025-09-11T17:52:48.764Z,2025-09-11T17:52:48.764Z
cmffpi0l500863z7gf4v124jr,A New Era for Underwriting: AI as a Competitive Advantage,Session Sponsor | Pega,2025-10-15T15:00:00.000Z,2025-10-15T16:00:00.000Z,Mandalay Bay Ballroom IPegasystems,Summit,All,AI|sponsored|underwriting|day1,,2025-09-11T17:52:48.761Z,2025-09-11T17:52:48.761Z
cmffpi0lj008b3z7gvdti41t4,Tata Consultancy Services Kickoff Summit: Leading the Intelligence Revolution in Insurance,Join us for Tata Consultancy Services Kickoff Summit: Leading the Intelligence Revolution in Insurance,2025-10-15T15:00:00.000Z,2025-10-15T19:00:00.000Z,Mandalay Bay Ballroom D,Summit,All,day1,,2025-09-11T17:52:48.776Z,2025-09-11T17:52:48.776Z
cmffpi0lb00893z7g1q4qoep9,How AI Is Reshaping How Insurance Operates,Session Sponsor,2025-10-15T15:00:00.000Z,2025-10-15T15:55:00.000Z,Mandalay Bay Ballroom DTata Consultancy Services,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:48.767Z,2025-09-11T17:52:48.767Z
cmffpi0hf007b3z7g5ghctd5l,WIISE Workshop: Menafactor Moment,Join us for WIISE Workshop: Menafactor Moment,2025-10-15T15:00:00.000Z,2025-10-15T15:45:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.628Z,2025-09-11T17:52:48.628Z
cmffpi0le008a3z7g0ylixxje,Pegasystems Kickoff Summit: Insurance Reimagined: The AI Advantage,Session Sponsor | Pega,2025-10-15T15:00:00.000Z,2025-10-15T20:30:00.000Z,Mandalay Bay Ballroom I,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:48.770Z,2025-09-11T17:52:48.770Z
cmffpi0l900883z7gfhqyepa5,Group Breakout Sessions,Join us for Group Breakout Sessions,2025-10-15T15:00:00.000Z,2025-10-15T15:45:00.000Z,Oceanside Ballroom B,Masterclass,All,masterclass|day1,,2025-09-11T17:52:48.765Z,2025-09-11T17:52:48.765Z
cmffpi0ln008c3z7g938m8393,"Smart Agents, Smarter Back Offices: How AI Turns Agents Into Experts… and Other Game-Changing Hacks to Turn Your Workforce Into Heroes","Join us for Smart Agents, Smarter Back Offices: How AI Turns Agents Into Experts… and Other Game-Changing Hacks to Turn Your Workforce Into Heroes",2025-10-15T15:15:00.000Z,2025-10-15T15:30:00.000Z,Mandalay Bay Ballroom E,Agents,All,AI|agents|day1,,2025-09-11T17:52:48.780Z,2025-09-11T17:52:48.780Z
cmffpi0lw008d3z7gxti9g69h,"We Don’t Need Another App: Why Insurance Needs Infrastructure, Not Interfaces","Join us for We Don’t Need Another App: Why Insurance Needs Infrastructure, Not Interfaces",2025-10-15T15:20:00.000Z,2025-10-15T15:35:00.000Z,Mandalay Bay Ballroom F,LATAM,All,LATAM|day1,,2025-09-11T17:52:48.788Z,2025-09-11T17:52:48.788Z
cmffpi0m8008e3z7g8o0m6e79,"What Happens to the Agency in the Age of AI? Disruption, Opportunity, and What Every Agent Needs to Know for the Road Ahead","Join us for What Happens to the Agency in the Age of AI? Disruption, Opportunity, and What Every Agent Needs to Know for the Road Ahead",2025-10-15T15:30:00.000Z,2025-10-15T15:45:00.000Z,Mandalay Bay Ballroom E,Agents,All,agents|day1,,2025-09-11T17:52:48.801Z,2025-09-11T17:52:48.801Z
cmffpi0hh007c3z7g8vyvzq9e,ITC Vegas Golf Tournament Registration & Check-In,Join us for ITC Vegas Golf Tournament Registration & Check-In,2025-10-15T15:30:00.000Z,2025-10-15T17:00:00.000Z,Bali Hai Golf Club,Golf,All,AI|golf|day1,,2025-09-11T17:52:48.629Z,2025-09-11T17:52:48.629Z
cmffpi0mr008g3z7g2e4o7c83,Transforming Health Insurance Using Insights From Behavioral Economics – A Detailed Before-And-After Case Study From Ecuador,"Lindsey PassaicVP Growth, Americas - Vitality | AI Recommended",2025-10-15T15:40:00.000Z,2025-10-15T15:55:00.000Z,Mandalay Bay Ballroom F,LATAM,All,AI|LATAM|recommended|day1,,2025-09-11T17:52:48.820Z,2025-09-11T17:52:48.820Z
cmffpi0md008f3z7gy640ilht,From Talk to Triumph: Why Now Is the Moment for Brokers to Prioritize Tech Adoption (And How to Do It) Presented by IntellectAI,Session Sponsor | IntellectAI,2025-10-15T15:40:00.000Z,2025-10-15T16:00:00.000Z,Mandalay Bay Ballroom H -,Brokers,All,AI|sponsored|brokers|day1,,2025-09-11T17:52:48.805Z,2025-09-11T17:52:48.805Z
cmffpi0hj007d3z7g1a1u3vd5,WIISE Workshop: Lunch,Join us for WIISE Workshop: Lunch,2025-10-15T15:45:00.000Z,2025-10-15T17:00:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|meal|day1,,2025-09-11T17:52:48.632Z,2025-09-11T17:52:48.632Z
cmffpi0n4008i3z7gzvckzanp,"Consolidation, Technology, and Resilience: How This Carrier Sees Efficiency Gains for Independent Agents and Why They’re Doubling Down on Them","Join us for Consolidation, Technology, and Resilience: How This Carrier Sees Efficiency Gains for Independent Agents and Why They’re Doubling Down on Them",2025-10-15T15:45:00.000Z,2025-10-15T16:15:00.000Z,Mandalay Bay Ballroom E,Agents,All,agents|day1,,2025-09-11T17:52:48.833Z,2025-09-11T17:52:48.833Z
cmffpi0n2008h3z7gs9gubatg,Closing Remarks,Join us for Closing Remarks,2025-10-15T15:45:00.000Z,2025-10-15T16:00:00.000Z,Oceanside Ballroom B,Masterclass,All,masterclass|day1,,2025-09-11T17:52:48.830Z,2025-09-11T17:52:48.830Z
cmffpi0ny008k3z7gmlovp7nz,From AI Pilots to AI-First Insurers: Designing for What Comes Next,Session Sponsor,2025-10-15T16:00:00.000Z,2025-10-15T16:40:00.000Z,Mandalay Bay Ballroom DTata Consultancy Services,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:48.863Z,2025-09-11T17:52:48.863Z
cmffpi0o3008l3z7gzh5isui6,Lunch Sponsored by isolved,Session Sponsor | isolved,2025-10-15T16:00:00.000Z,2025-10-15T17:30:00.000Z,Shoreline | Level 2,Networking,All,meal|sponsored|day1,,2025-09-11T17:52:48.867Z,2025-09-11T17:52:48.867Z
cmffpi0no008j3z7gxz2fcxki,"Datos Insights Kickoff Summit: The Insurance AI Reality Check - Successes, Failures and What’s Next (Carriers Only)",Session Sponsor,2025-10-15T16:00:00.000Z,2025-10-15T22:00:00.000Z,Lagoon Ballroom KL,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:48.852Z,2025-09-11T17:52:48.852Z
cmffpi0o5008m3z7g98whwa9y,Viewpoint Ventures Kickoff Summit: Corporate Development / Innovation / Strategy Summit,Session Sponsor,2025-10-15T16:00:00.000Z,2025-10-15T20:00:00.000Z,Mandalay Bay Ballroom BC,Summit,All,sponsored|day1,,2025-09-11T17:52:48.869Z,2025-09-11T17:52:48.869Z
cmffpi0o8008n3z7gwu1gaa1v,ITC Agents & Brokers Lunch & Expo,Join us for ITC Agents & Brokers Lunch & Expo,2025-10-15T16:15:00.000Z,2025-10-15T17:45:00.000Z,Mandalay Bay Ballroom E,Agents,All,meal|agents|brokers|day1,,2025-09-11T17:52:48.873Z,2025-09-11T17:52:48.873Z
cmffpi0oa008o3z7g8qk2ekhk,"The Future Athlete Project With Des Linden, Boston Marathon Champion and Two-Time Olympian",Session Sponsor,2025-10-15T16:45:00.000Z,2025-10-15T17:15:00.000Z,Mandalay Bay Ballroom DTata Consultancy Services,Summit,All,sponsored|day1,,2025-09-11T17:52:48.875Z,2025-09-11T17:52:48.875Z
cmffpi0ol008p3z7gwon32ydf,Viewpoint Ventures Opening Remarks and State of Insurtech,Session Sponsor,2025-10-15T16:45:00.000Z,2025-10-15T17:10:00.000Z,Mandalay Bay Ballroom BCViewpoint Ventures,Summit,All,InsurTech|sponsored|day1,,2025-09-11T17:52:48.885Z,2025-09-11T17:52:48.885Z
cmffpi0pj008x3z7gkmqix8iy,Progressing the AI Insurance Use Case,Session Sponsor | Cognizant,2025-10-15T17:00:00.000Z,2025-10-15T17:20:00.000Z,Mandalay Bay Ballroom LCognizant,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:48.919Z,2025-09-11T17:52:48.919Z
cmffpi0p0008u3z7gx694k6iy,EXL Kickoff Summit: AI in the Workflow - Opportunities & Risks for Insurance Carriers,Session Sponsor | EXL,2025-10-15T17:00:00.000Z,2025-10-15T21:00:00.000Z,Reef Ballroom BCEF,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:48.900Z,2025-09-11T17:52:48.900Z
cmffpi0oy008t3z7gw7ahyjw9,Cognizant Kickoff Summit: Cognizant Experience | Creating Exponential Advantage While Engineering Empathy,Session Sponsor | Cognizant,2025-10-15T17:00:00.000Z,2025-10-15T21:00:00.000Z,Mandalay Bay Ballroom L,Summit,All,sponsored|day1,,2025-09-11T17:52:48.898Z,2025-09-11T17:52:48.898Z
cmffpi0ov008s3z7g5u2qqoeh,"Celent Kickoff Summit: Disrupt, Decode, Deliver - The Future Hits Fast",Session Sponsor | Celent,2025-10-15T17:00:00.000Z,2025-10-15T21:00:00.000Z,Surf Ballroom EF,Summit,All,sponsored|day1,,2025-09-11T17:52:48.896Z,2025-09-11T17:52:48.896Z
cmffpi0hl007f3z7gwh34o4zu,WIISE Workshop: The Magic of Marketing,Join us for WIISE Workshop: The Magic of Marketing,2025-10-15T17:00:00.000Z,2025-10-15T17:45:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.633Z,2025-09-11T17:52:48.633Z
cmffpi0hk007e3z7gnggwe18m,ITC Vegas Golf Tournament,AI Recommended,2025-10-15T17:00:00.000Z,2025-10-15T21:30:00.000Z,Bali Hai Golf Club,Golf,All,AI|golf|recommended|day1,,2025-09-11T17:52:48.632Z,2025-09-11T17:52:48.632Z
cmffpi0or008r3z7gaqra3wxj,Celent Kickoff Summit Opening Remarks,Session Sponsor | Celent,2025-10-15T17:00:00.000Z,2025-10-15T17:10:00.000Z,Surf Ballroom EFCelent,Summit,All,sponsored|day1,,2025-09-11T17:52:48.892Z,2025-09-11T17:52:48.892Z
cmffpi0oo008q3z7g87njhdwf,AWS/Ensono/Verisk Kickoff Summit: Overcoming Life Insurance Modernization Challenges,Session Sponsor | Ensono,2025-10-15T17:00:00.000Z,2025-10-15T21:00:00.000Z,Lagoon Ballroom CDIJ,Summit,All,sponsored|day1,,2025-09-11T17:52:48.889Z,2025-09-11T17:52:48.889Z
cmffpi0po008y3z7gns9fy3my,Sureify Kickoff Summit and Life & Annuity Networking Mixer,Session Sponsor | Sureify,2025-10-15T17:00:00.000Z,2025-10-15T21:00:00.000Z,Breakers Ballroom CD,Summit,All,networking|sponsored|day1,,2025-09-11T17:52:48.925Z,2025-09-11T17:52:48.925Z
cmffpi0ph008w3z7g9gxnfpoj,Opening Remarks,Session Sponsor | EXL,2025-10-15T17:00:00.000Z,2025-10-15T17:20:00.000Z,Reef Ballroom BCEFEXL,Summit,All,sponsored|day1,,2025-09-11T17:52:48.917Z,2025-09-11T17:52:48.917Z
cmffpi0p4008v3z7g3gzesuhl,First Timers Orientation Sponsored by Yelp,Amy CooperCEO & Founder - RISE Professionals | Session Sponsor,2025-10-15T17:00:00.000Z,2025-10-15T18:15:00.000Z,Oceanside Ballroom B,General,All,sponsored|day1,,2025-09-11T17:52:48.904Z,2025-09-11T17:52:48.904Z
cmffpi0pt008z3z7gipo3gfbh,"Insurtech’s First Decade: Lessons, Misses & What’s Next",Session Sponsor,2025-10-15T17:10:00.000Z,2025-10-15T17:40:00.000Z,Mandalay Bay Ballroom BCViewpoint Ventures,Summit,All,InsurTech|sponsored|day1,,2025-09-11T17:52:48.929Z,2025-09-11T17:52:48.929Z
cmffpi0px00903z7gcbtxu6p9,InsurTechs in 2025 – Rethinking the Playbook,Session Sponsor | Celent,2025-10-15T17:10:00.000Z,2025-10-15T17:40:00.000Z,Surf Ballroom EFCelent,Summit,All,InsurTech|sponsored|day1,,2025-09-11T17:52:48.934Z,2025-09-11T17:52:48.934Z
cmffpi0qt00923z7gzfpifetd,Emerging Technology Demos,Session Sponsor,2025-10-15T17:20:00.000Z,2025-10-15T17:55:00.000Z,Mandalay Bay Ballroom DTata Consultancy Services,Summit,All,sponsored|day1,,2025-09-11T17:52:48.965Z,2025-09-11T17:52:48.965Z
cmffpi0ra00943z7g7ek653tp,Exclusive CXO Roundtable: Navigating Risks and Opportunities to GenAI and Agentic AI Adoption in Insurance,Session Sponsor | EXL,2025-10-15T17:20:00.000Z,2025-10-15T17:50:00.000Z,Reef Ballroom BCEFEXL,Summit,All,AI|sponsored|agents|day1,,2025-09-11T17:52:48.983Z,2025-09-11T17:52:48.983Z
cmffpi0q000913z7gp5c2ybg1,Embedded Insurance: Powering B2B2C Growth in Latin America’s Next Frontier,Stefano de LiguoroCEO - Insurama,2025-10-15T17:20:00.000Z,2025-10-15T17:35:00.000Z,Mandalay Bay Ballroom F,LATAM,All,LATAM|day1,,2025-09-11T17:52:48.936Z,2025-09-11T17:52:48.936Z
cmffpi0r100933z7gl8sgetmn,Engineering for Growth,Session Sponsor | Cognizant,2025-10-15T17:20:00.000Z,2025-10-15T17:40:00.000Z,Mandalay Bay Ballroom LCognizant,Summit,All,sponsored|day1,,2025-09-11T17:52:48.974Z,2025-09-11T17:52:48.974Z
cmffpi0rd00953z7grf2vbfre,Agentic Operations: A New Model for Insurance,Session Sponsor | Pega,2025-10-15T17:30:00.000Z,2025-10-15T18:30:00.000Z,Mandalay Bay Ballroom IPegasystems,Summit,All,sponsored|agents|day1,,2025-09-11T17:52:48.985Z,2025-09-11T17:52:48.985Z
cmffpi0rj00963z7gtkcn4hbz,Talk with the Regulator: How Brazil’s Bold Approach to Insurance Enables Innovation,Join us for Talk with the Regulator: How Brazil’s Bold Approach to Insurance Enables Innovation,2025-10-15T17:35:00.000Z,2025-10-15T18:05:00.000Z,Mandalay Bay Ballroom F,LATAM,All,LATAM|day1,,2025-09-11T17:52:48.991Z,2025-09-11T17:52:48.991Z
cmffpi0rt00973z7grfjoy59s,AI in Production: From Use‑Cases to Live Workflows,Session Sponsor,2025-10-15T17:40:00.000Z,2025-10-15T18:10:00.000Z,Mandalay Bay Ballroom BCViewpoint Ventures,Summit,All,AI|sponsored|day1,,2025-09-11T17:52:49.001Z,2025-09-11T17:52:49.001Z
cmffpi0rx00983z7gpjqboeka,Engineering for Empathy,Session Sponsor | Cognizant,2025-10-15T17:40:00.000Z,2025-10-15T18:00:00.000Z,Mandalay Bay Ballroom LCognizant,Summit,All,sponsored|day1,,2025-09-11T17:52:49.005Z,2025-09-11T17:52:49.005Z
cmffpi0hm007g3z7ghv9cz7dx,WIISE Workshop: Warrior Moment,Join us for WIISE Workshop: Warrior Moment,2025-10-15T17:45:00.000Z,2025-10-15T18:00:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.634Z,2025-09-11T17:52:48.634Z
cmffpi0s900993z7g7hv0dloy,Creating Loyal Customers: Insights on the Claims and Payments Experience,Session Sponsor | Celent,2025-10-15T17:45:00.000Z,2025-10-15T18:15:00.000Z,Surf Ballroom EFCelent,Summit,All,sponsored|claims|day1,,2025-09-11T17:52:49.017Z,2025-09-11T17:52:49.017Z
cmffpi0sb009a3z7gxfrw3gi8,"The 32-Hour Workweek. Do Less, Make More",Session Sponsor,2025-10-15T17:45:00.000Z,2025-10-15T18:00:00.000Z,Mandalay Bay Ballroom E,Agents,All,sponsored|agents|day1,,2025-09-11T17:52:49.019Z,2025-09-11T17:52:49.019Z
cmffpi0sl009b3z7g81w5pa8h,"Fail Fast, Fail Forward. Notes on an Ambitious Launch That Didn’t Go to Plan","Join us for Fail Fast, Fail Forward. Notes on an Ambitious Launch That Didn’t Go to Plan",2025-10-15T17:50:00.000Z,2025-10-15T18:05:00.000Z,Mandalay Bay Ballroom H -,Brokers,All,brokers|day1,,2025-09-11T17:52:49.030Z,2025-09-11T17:52:49.030Z
cmffpi0su009d3z7g6j6dfjgw,Next Generation Commercial & Specialty Insurance,Session Sponsor | Cognizant,2025-10-15T18:00:00.000Z,2025-10-15T18:20:00.000Z,Mandalay Bay Ballroom LCognizant,Summit,All,sponsored|day1,,2025-09-11T17:52:49.039Z,2025-09-11T17:52:49.039Z
cmffpi0sq009c3z7g0yc6l3h7,From FNOL to Resolution: Transforming Claims with Generative and Agentic AI,Session Sponsor | EXL,2025-10-15T18:00:00.000Z,2025-10-15T18:45:00.000Z,Reef Ballroom BCEFEXL,Summit,All,AI|sponsored|agents|claims|day1,,2025-09-11T17:52:49.034Z,2025-09-11T17:52:49.034Z
cmffpi0hn007h3z7gfek85cmi,WIISE Workshop: Wings Not Weights: How Lifting Others Lightens the Load,Join us for WIISE Workshop: Wings Not Weights: How Lifting Others Lightens the Load,2025-10-15T18:00:00.000Z,2025-10-15T18:45:00.000Z,Mandalay Bay Ballroom IWIISE Workshop,WIISE,All,workshop|day1,,2025-09-11T17:52:48.635Z,2025-09-11T17:52:48.635Z
cmffpi0t0009e3z7gdqgyutp7,Zero Experience? Zero Connections? Zero Problem: How We Went From Broke Agents to Program Managers and the Repeatable System We Used That Still Works,Join us for Zero Experience? Zero Connections? Zero Problem: How We Went From Broke Agents to Program Managers and the Repeatable System We Used That Still Works,2025-10-15T18:00:00.000Z,2025-10-15T18:15:00.000Z,Mandalay Bay Ballroom E,Agents,All,agents|day1,,2025-09-11T17:52:49.044Z,2025-09-11T17:52:49.044Z
cmffpi0t6009f3z7g1m3y1ezz,Multiples in Motion: Decoding How Analysts Value Carriers Today,Session Sponsor,2025-10-15T18:10:00.000Z,2025-10-15T19:00:00.000Z,Mandalay Bay Ballroom BCViewpoint Ventures,Summit,All,sponsored|day1,,2025-09-11T17:52:49.051Z,2025-09-11T17:52:49.051Z
cmffpi0tb009g3z7g1brqgggq,Scalable Pricing in LATAM: Lessons from the Field Presented by Akur8,Session Sponsor | Akur8,2025-10-15T18:10:00.000Z,2025-10-15T18:25:00.000Z,Mandalay Bay Ballroom F,LATAM,All,sponsored|LATAM|day1,,2025-09-11T17:52:49.055Z,2025-09-11T17:52:49.055Z
cmffpi0tg009h3z7gm60k19rr,"Reimagine Your Revenue: How to Transform Your Revenue Operations by Leveraging AI and Automation (For Brokers, Carriers, and MGAs) Presented by eventual treasury",Session Sponsor,2025-10-15T18:15:00.000Z,2025-10-15T18:30:00.000Z,Mandalay Bay Ballroom H -,Brokers,All,AI|sponsored|brokers|day1,,2025-09-11T17:52:49.061Z,2025-09-11T17:52:49.061Z
cmffpi0to009k3z7glljomvcz,The Future of CAT Management: Tools for a Volatile World,Session Sponsor | Celent,2025-10-15T18:20:00.000Z,2025-10-15T18:50:00.000Z,Surf Ballroom EFCelent,Summit,All,sponsored|day1,,2025-09-11T17:52:49.069Z,2025-09-11T17:52:49.069Z
