id,name,bio,company,role,imageUrl,linkedinUrl,twitterUrl,websiteUrl,profileSummary,companyProfile,expertise,achievements,lastProfileSync,createdAt
cmffpi07n000c3z7gog92o7lq,Carlos Cendra Falcon,,MAPFRE,Scouting & Investment Lead,,,,,,,Insurtech,,2025-09-11T20:44:38.210Z,2025-09-11T17:52:48.275Z
cmffpi0du00463z7gfw8pdkrf,Carsten Middendorf,,Allianz X,Chief Investment Officer,,,,,,,Insurtech,,2025-09-11T20:44:38.284Z,2025-09-11T17:52:48.499Z
cmffpi0cn003k3z7gu0n2s5w8,Chase Courtney,,Technology Sales - AndDone,VP,,,,,,,Insurtech,,2025-09-11T20:44:40.779Z,2025-09-11T17:52:48.455Z
cmffpi0g7006k3z7gmrqpgcpp,Chaz Perera,,Founder & CEO - Roots,Co,,,,,,,Insurtech,,2025-09-11T20:44:40.767Z,2025-09-11T17:52:48.584Z
cmffpi07u000m3z7gl5duk8al,Chris Paradiso,,Paradiso Financial and Insurance Services,Independent Insurance Agent,,,,,,,Insurtech,,2025-09-11T20:44:40.780Z,2025-09-11T17:52:48.282Z
cmffpi0fn005u3z7gc6t7g6xs,Christopher Ahearn,,Secureworks,Director of Incident Response,,,,,,,Insurtech,,2025-09-11T20:44:40.781Z,2025-09-11T17:52:48.564Z
cmffpi0fj005s3z7ge7se2kq1,Christy Lane,,Founder - Flora,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:44:40.777Z,2025-09-11T17:52:48.560Z
cmffpi0c400363z7gx1s7dxnl,CJ Przybyl,,Founder - Reserv,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:44:43.091Z,2025-09-11T17:52:48.437Z
cmffpi0gd006o3z7gd9i4kzag,Cody Barbo,,Trust & Will,CEO & Founder,,,,,,,Insurtech,,2025-09-11T20:44:43.052Z,2025-09-11T17:52:48.590Z
cmffpi07o000e3z7gqo9rkz6p,Colleen Thomas,,CNA Insurance,"VP, Business Relationship Management & Innovation",,,,,,,Insurtech|Innovation,,2025-09-11T20:44:43.085Z,2025-09-11T17:52:48.276Z
cmffpi080000x3z7gtg2gagy7,Craig Weber,,Cognizant,Head of Insurance Strategy,,,,,,,AI|Insurtech,,2025-09-11T20:44:43.118Z,2025-09-11T17:52:48.289Z
cmffpi0ed004m3z7gpmuu4mzo,Cristiane Chiacchio,,Prudential Financial,"CEO, Simplified Solutions",,,,,,,Insurtech,,2025-09-11T20:44:43.064Z,2025-09-11T17:52:48.518Z
cmffpi0c600373z7gnr4dj4c7,Curt Hess,,Vitesse,U.S. Executive President,,,,,,,Insurtech,,2025-09-11T20:44:45.393Z,2025-09-11T17:52:48.439Z
cmffpi07l00093z7gw3xyt697,Dale Steinke,,Liberty Mutual,"Director, Agent for the Future Advisors",,,,,,,Insurtech,,2025-09-11T20:44:45.401Z,2025-09-11T17:52:48.274Z
cmffpi0b6002b3z7g0gxm0ukh,Dan Donovan,,Shift Technology,"VP, Customer Success & Solution Consulting",,,,,,,Insurtech,,2025-09-11T20:44:45.449Z,2025-09-11T17:52:48.403Z
cmffpi0fv00673z7gzhyfa57n,Danielle Cagan,,CSAA Insurance Group,"VP, External Affairs & Corporate Communications",,,,,,,AI|Insurtech,,2025-09-11T20:44:45.484Z,2025-09-11T17:52:48.572Z
cmffpi0dy00493z7g13p8oo67,Dave Rengachary,,RGA,"SVP, Head of Underwriting, U.S. Individual Life",,,,,,,Insurtech|Underwriting,,2025-09-11T20:44:45.406Z,2025-09-11T17:52:48.503Z
cmffpi09m001i3z7gw5ss1ue3,David Zhang,,Chestnut,CEO,,,,,,,Insurtech,,2025-09-11T20:44:47.867Z,2025-09-11T17:52:48.346Z
cmffpi0b300273z7gzspvk8x4,Denise Garth,,Majesco,Chief Strategy Officer,,https://www.linkedin.com/in/denisegarth,,,,,Insurtech,,2025-09-11T20:44:47.776Z,2025-09-11T17:52:48.399Z
cmffpi0f3005c3z7glj2ko0xz,Dinh Lai,,bolt,CMO,,,,,,,AI|Insurtech,,2025-09-11T20:44:47.754Z,2025-09-11T17:52:48.543Z
cmffpi07p000f3z7gwld47e97,Dorothy Kelly,,Verisk,"VP, Innovation",,,,,,,Insurtech|Innovation,,2025-09-11T20:44:47.855Z,2025-09-11T17:52:48.277Z
cmffpi07m000b3z7gnatrdxvz,Drew Aldrich,,Viewpoint Ventures,Founder & Managing Partner,,,,,,,Insurtech,,2025-09-11T20:44:47.773Z,2025-09-11T17:52:48.275Z
cmffpi0bo002s3z7g9eamvpe0,Duncan Anderson,,WTW IC&T,Global Insurance Technology Leader,,,,,,,Insurtech,,2025-09-11T20:44:50.147Z,2025-09-11T17:52:48.420Z
cmffpi0ab001r3z7g2h671y8b,Eduardo Viegas,,Kovr Seguradora,COO,,,,,,,Insurtech,,2025-09-11T20:44:50.192Z,2025-09-11T17:52:48.372Z
cmffpi0fo005v3z7glrdlsdt5,Eliron Ekstein,,Founder - Ravin.AI,CEO & Co,,,,,,,AI|Insurtech,,2025-09-11T20:44:50.240Z,2025-09-11T17:52:48.564Z
cmffpi0cx003s3z7gftaqoyad,Eric Hoelzen,,Turo,Head of Insurance,,,,,,,Insurtech,,2025-09-11T20:44:50.151Z,2025-09-11T17:52:48.465Z
cmffpi0b9002f3z7gxd95sgu0,Erik Roen,,Claims - Travelers,SVP & CIO,,https://www.linkedin.com/in/erik-roen,,,,,AI|Insurtech|Claims,,2025-09-11T20:44:50.219Z,2025-09-11T17:52:48.406Z
cmffpi0fr00613z7gz9d3wfp7,Eugenio Gonzalez,,Plug and Play,Partner & Head of InsurTech,,,,,,,Insurtech,,2025-09-11T20:44:52.654Z,2025-09-11T17:52:48.568Z
cmffpi0ar00203z7gse09rnl8,Expo Floor,,FloorEvent Information,Event Information,,,,,,,Insurtech,,2025-09-11T20:44:52.685Z,2025-09-11T17:52:48.388Z
cmffpi0gy00763z7g7qtgcwhg,Federico Spagnoli,,Gangkhar,Founder and CEO,,,,,,,Insurtech,,2025-09-11T20:44:52.676Z,2025-09-11T17:52:48.610Z
cmffpi0fh005n3z7gdhw2gcop,Fergal Madigan,,Stripe,Global Financial Services GTM Lead,,,,,,,Insurtech,,2025-09-11T20:44:52.659Z,2025-09-11T17:52:48.557Z
cmffpi0bl002q3z7gtk000xtr,Freddie Scarratt,,Gallagher Re,"Global Deputy Head, Insur Tech",,,,,,,Insurtech,,2025-09-11T20:44:52.655Z,2025-09-11T17:52:48.417Z
cmffpi0et004y3z7gkwtpf54u,Gage Caligaris,,Ledgebrook,Founder and CEO,,,,,,,Insurtech,,2025-09-11T20:44:55.101Z,2025-09-11T17:52:48.534Z
cmffpi07q000g3z7gman7d82k,Garrett Koehn,,CRC Insurance Services,"Chief Innovation Officer and President, ProExec",,,,,,,Insurtech|Innovation,,2025-09-11T20:44:54.966Z,2025-09-11T17:52:48.278Z
cmffpi0cm003j3z7gf71oqb1c,Gary Korte,,Integrations and CRM - IPFS,VP,,,,,,,Insurtech,,2025-09-11T20:44:54.961Z,2025-09-11T17:52:48.454Z
cmffpi0c300333z7gpwsdl3d2,George Kichukov,,GitLab,Field CTO for FSI,,,,,,,Insurtech,,2025-09-11T20:44:54.954Z,2025-09-11T17:52:48.435Z
cmffpi0fc005j3z7gxsxv20fl,Gilad Shai,,InsurTech LA,Partner,,,,,,,AI|Insurtech,,2025-09-11T20:44:55.051Z,2025-09-11T17:52:48.553Z
cmffpi09o001j3z7g4dyf17ji,Grace Hanson,,Elysian,CEO,,,,,,,Insurtech,,2025-09-11T20:44:57.412Z,2025-09-11T17:52:48.349Z
cmffpi0eq004w3z7g4vot3aty,Grant Beck,,KBA Group,Head of Innovation & Optimisation,,,,,"I apologize, but I was unable to find specific information about Grant Beck as Head of Innovation & Optimisation at KBA Group in the search results. While several Grant Becks appeared in the results, none matched the specific role and company mentioned in your query.

To provide accurate information about this professional, we would need to verify:
Current role and responsibilities
Key expertise and achievements
Professional background
LinkedIn URL",,Insurtech|Innovation,,2025-09-11T22:46:08.565Z,2025-09-11T17:52:48.530Z
cmffpi0e5004h3z7gzt1plwok,Gustavo Sorotski,,In-Home Distribution & Partnerships - Disney+,VP,,,,,,,Insurtech,,2025-09-11T20:44:57.417Z,2025-09-11T17:52:48.509Z
cmffpi0db003y3z7g0twocr0q,Guy Vorster,,Reltio,Principal Solution Consultant,,,,,,,Insurtech,,2025-09-11T20:44:57.438Z,2025-09-11T17:52:48.480Z
cmffpi0ag001v3z7guybo9pmr,Haesun Brooks,,Founder - Sutro,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:44:57.444Z,2025-09-11T17:52:48.376Z
cmffpi09t001k3z7go9lrn532,Harrison Brooks,,Reagan Consulting,Partner,,,,,,,Insurtech,,2025-09-11T20:44:59.727Z,2025-09-11T17:52:48.353Z
cmffpi0gs006x3z7gn4sms4dl,Hayk Tepanyan,,BlueQubit,CEO & Founder,,,,,,,Insurtech,,2025-09-11T20:44:59.749Z,2025-09-11T17:52:48.605Z
cmffpi0ae001t3z7gq1dngnnj,Heath Shearon,,Insurance Town,Mayor,,,,,,,Insurtech,,2025-09-11T20:44:59.726Z,2025-09-11T17:52:48.374Z
cmffpi0ey00553z7gnohptgie,Henry Lach,,Emailgistics,CEO,,,,,,,AI|Insurtech,,2025-09-11T20:44:59.895Z,2025-09-11T17:52:48.539Z
cmffpi07i00063z7gcz91ggiw,Hernan Fernandez,,100% SEGURO,Director,,,,,,,Insurtech,,2025-09-11T20:44:59.741Z,2025-09-11T17:52:48.271Z
cmffpi09i001h3z7gcpy9r1sx,Igor Mascarenhas,,Founder - Pier,CEO & Co,,,,,"Current Role:
Igor Mascarenhas has an educational background from Stanford University Graduate School of Business and is based in São Paulo. 

Leadership & Company Overview:
Pier was founded with the mission to provide innovative and accessible insurance services. Under Igor's leadership, the company has shown significant growth, with their annualized revenue reaching R$48 million in October 2021, representing a 312% increase compared to the previous year.

Key Achievements:

1. Funding & Growth:
- In September 2021, Pier secured R$108 million (US$20 million) in a Series B round, led by Raiz Investimentos

2. Regulatory Milestone:
- The company received unprecedented authorization from Susep (Brazilian insurance regulator) to operate with a permanent license throughout Brazil. According to Mascarenhas, the company continues to use artificial intelligence to improve insurance experience, including features like instant reimbursement and Simple Theft coverage for cell phones.

Leadership Style & Philosophy:
Igor is known for his innovative thinking and hands-on leadership approach. He is described as someone who:
- Always appears with innovative ideas, suggestions, and tips
- Is always willing to help and get involved
- Leads teams with a direct presence
- Listens attentively to team members' opinions
- Doesn't let hierarchy create distance between himself and others

Business Philosophy:
His entrepreneurial philosophy includes:
- Identifying opportunities in every meeting and interaction
- Focusing on excellent opportunities rather than just good ones
- Prioritizing focus in business management

Industry Recognition:
Igor has been recognized among the ""100 Super CEOs"" of Brazil's most technologically relevant startups, as published in Revista Pequenas Empresas & Grandes Negócios.

Company Impact:
Under his leadership, Pier has made significant impact in the insurance sector, with over 60% of their clients previously having no insurance protection before contracting with Pier.

Current Vision:
Mascarenhas believes in the power of data-driven decision making and has expressed his vision of making Pier a global AI-First reference in insurance, emphasizing the importance of having reliable and accessible data as the foundation for any data-driven company.

Professional Recognition:
Igor has also become a notable figure in the technology market, serving as an angel investor alongside other prominent entrepreneurs from companies like Rappi and Tul.",,AI,,2025-09-11T20:45:25.289Z,2025-09-11T17:52:48.342Z
cmffpi0gx00753z7g0k8aiqh3,Isabelle Harnois,,IA Financial Group,Actuary and Senior Advisor,,,,,,,,,2025-09-11T20:45:15.039Z,2025-09-11T17:52:48.610Z
cmffpi0fu00663z7gqlxegblv,Ivan O'Neill,,Wuuii,CEO and Co-founder,,https://www.linkedin.com/in/ivanoneill,,,"Company Overview:
Wuuii is a risk management software and services provider that focuses on climate-driven wildfire risks. The company was established in 2021.

2. Core Business and Services:
- Wuuii partners with the Insurance Institute for Business and Home Safety (IBHS) to offer solutions that help California property owners reduce wildfire threats, find affordable insurance, and earn premium discounts.
- Their Madronus service network provides in-person services to 80% of Californians through remote or in-person consultations with wildfire risk specialists.

3. Location and Coverage:
Ivan O'Neill is based in Santa Rosa, and the company's services are primarily focused on California property owners, with coverage reaching 80% of Californians.

4. Mission and Impact:
Wuuii works daily to protect Angelenos, Californians, and all Americans from wildfires. 

5. Recent Developments:
The company has formed a significant partnership with IBHS to combine their Wildfire Prepared Home program with Wuuii's Madronus Wildfire Defense network.

6. Service Offerings:
Through their Madronus service:
- They provide consultations with wildfire risk specialists, offering both remote and in-person options.
- They help property owners reduce wildfire threats and access more affordable insurance options.

7. Professional Network:
Ivan O'Neill has over 500+ connections on LinkedIn, indicating strong professional networking within the industry.

URLs Found:
- LinkedIn Profile: linkedin.com/in/ivanoneill/

Note: While some basic information about Ivan O'Neill and Wuuii is available, detailed personal background information and previous work experience are not readily available in the search results. The company appears to be primarily focused on wildfire risk management and protection services in California.",,AI|Risk Management,,2025-09-11T20:45:20.354Z,2025-09-11T17:52:48.570Z
cmffpi0gq006u3z7gxanayumj,Jaclyn Johnson,,Thimble,Director of Underwriting,,,,,"Company Overview:
Thimble is an insurtech company with over 6,500 followers on LinkedIn that provides ""quick-thinking insurance for fast-moving businesses.""

Business Model & Services:
The company specializes in providing insurance coverage to over 140 professions, including handymen, landscapers, DJs, artisans, and other small businesses. They offer flexible coverage options that can be purchased by the job, month, or year using their app, website, or phone service.

Recent Corporate Development:
Thimble has been acquired by Arch Insurance, a significant development in the company's growth. According to Jay Rajendra, Arch's Chief Strategy and Innovation Officer, Thimble has created a ""best-in-class digital experience for small business customers and agents to acquire and manage insurance.""

Platform Features:
Thimble's platform is characterized by:
- Simple processes: Policies can be purchased online, in-app, or over the phone in minutes
- Quick service: Fast turnaround times
- Streamlined experience: No hold music or complicated questions
- Efficient process: Quick path to getting insured

Business Flexibility:
The platform offers:
- Scalable solutions for businesses of all sizes
- Flexible payment options (by job, month, or year)
- Ability to modify, pause, or cancel coverage as needed
- Adaptability to business growth or slowdown

 This could be due to various reasons, including privacy settings on LinkedIn profiles or recent changes in position that haven't been widely documented online.

Relevant URLs:
- Company LinkedIn: https://www.linkedin.com/company/thimble

Note: If you need specific information about Jaclyn Johnson's role and responsibilities, you may want to:
1. Contact Thimble directly
2. Check Thimble's official website
3. Look for industry publications or press releases that might mention her role
4. Connect with her directly on professional networks",,Insurtech|Innovation,,2025-09-11T23:24:36.176Z,2025-09-11T17:52:48.602Z
cmffpi0g3006i3z7gn46wkydx,Jane Tran,,Founder and COO - Sixfold,Co,,,,,"Company Overview:
Sixfold is focused on bringing joy back to underwriting through generative artificial intelligence designed to solve the insurance industry's hardest problems. Their mission is to improve insurance underwriting tasks by automating tedious work.

Professional Background:
1. Previous Experience:
Before founding Sixfold, she was a founding member and COO of Unqork, a $2B enterprise no-code company.

2. Investment and Mentorship:
She is an investor at The Everywhere Ventures, an early-stage VC firm that focuses on supporting and investing in the next generation of female founders. She also serves as an active mentor for Techstars and Lair East Labs.

Recent Achievements at Sixfold:
Sixfold has secured $6.5 million in seed funding from Bessemer Venture Partners and Crystal Venture Partners.

The company was recently selected as one of the winners from North America in the Zurich Innovation Championship and will advance to the global stage.

Leadership Philosophy:
Jane emphasizes responsible AI development, stating during an Insurtech Insights panel discussion: ""As a carrier, you should maintain a healthy skepticism towards new solutions. Our role as a vendor is to assure you that we have considered all potential risks and have a framework in place to mitigate those risks for you.""

Company Vision:
Under her leadership, Sixfold has developed the Sixfold Assistant, which helps underwriters evaluate and rate submissions more quickly, improving their capacity and decision accuracy. The platform eliminates much of the ""grunt work"" that underwriters face daily, such as gathering information from third parties, analyzing thousands of pages of documents, and processing unstructured data. It functions as a co-pilot to underwriters and integrates with existing technology systems.

Education:
She attended Syracuse University.

Location:
She is based in New York.",,AI|Insurtech|Underwriting|Innovation,,2025-09-11T20:45:19.758Z,2025-09-11T17:52:48.579Z
cmffpi090001b3z7g9hltbtk3,Jason Cass,,Agency Intelligence,CEO,,,,,,,Insurtech,,2025-09-11T20:45:27.596Z,2025-09-11T17:52:48.325Z
cmffpi06u00003z7g8ls46f8q,Javier Cabello,,MetLife Xcelerator,SVP,,,,,,,Insurtech,,2025-09-11T20:45:27.677Z,2025-09-11T17:52:48.246Z
cmffpi0gt006z3z7gr7j9snfk,Jayend Krishnamoorthy,,Arivonix,CEO,,,,,,,Insurtech,,2025-09-11T20:45:27.789Z,2025-09-11T17:52:48.606Z
cmffpi0bz002z3z7g3q00d4d3,Jay Kaduson,,Voya Financial,CEO of Workplace Solutions,,,,,,,Insurtech,,2025-09-11T20:45:27.671Z,2025-09-11T17:52:48.432Z
cmffpi07r000j3z7gnhk3breu,Jeffrey Heine,,Novidea,Chief Revenue Officer,,,,,,,Insurtech,,2025-09-11T20:45:27.644Z,2025-09-11T17:52:48.280Z
cmffpi0bh002o3z7gi8wt1bl8,Jeff Saye,,Genpact,Insurance Growth Leader,,,,,,,Insurtech,,2025-09-11T20:45:30.275Z,2025-09-11T17:52:48.414Z
cmffpi0at00213z7g62ro06qj,Jesse Cole,,Savannah Bananas,Founder,,,,,,,Insurtech,,2025-09-11T20:45:30.264Z,2025-09-11T17:52:48.389Z
cmffpi0fq005y3z7ghj1ck7bw,Jim Dwane,,Mission Underwriting Managers,CEO,,,,,,,Insurtech|Underwriting,,2025-09-11T20:45:30.301Z,2025-09-11T17:52:48.566Z
cmffpi0de003z3z7g43lwhbnt,John Stammen,,Convr,CEO,,,,,,,Insurtech,,2025-09-11T20:45:30.274Z,2025-09-11T17:52:48.483Z
cmffpi07z000v3z7gkr8j4i7d,Jonathan Carr,,ePlacement,CEO and Founder,,,,,,,Insurtech,,2025-09-11T20:45:30.264Z,2025-09-11T17:52:48.288Z
cmffpi0d2003t3z7g6vn5m8pu,José Prado,,Insurtech Brasil,CEO,,,,,,,Insurtech,,2025-09-11T20:45:32.612Z,2025-09-11T17:52:48.471Z
cmffpi08400103z7gun1oqf5a,Júlia Normande Lins,,SUSEP,Director,,,,,,,Insurtech,,2025-09-11T20:45:32.577Z,2025-09-11T17:52:48.293Z
cmffpi0bd002l3z7gzop9luig,Juneen Kirk,,Voya Financial,"SVP, Customer Experience, Marketing & Commercial Expansion",,,,,,,Insurtech|Customer Experience,,2025-09-11T20:45:32.585Z,2025-09-11T17:52:48.409Z
cmffpi0fl005t3z7gdglzlb80,Justin Curtis,,National Practice Leader - Alliant,FVP,,,,,,,Insurtech,,2025-09-11T20:45:32.792Z,2025-09-11T17:52:48.561Z
cmffpi0c700383z7gj2ugp3hr,Karn Saroya,,Founder - Re,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:45:32.671Z,2025-09-11T17:52:48.439Z
cmffpi0gw00733z7gqp5x2c4v,Kate Dillion,,Prosek Partners,Managing Director,,,,,,,Insurtech,,2025-09-11T20:45:35.088Z,2025-09-11T17:52:48.608Z
